Altitude_m,Temperature_K,Pressure_Pa,Density_kg_m3,Speed_of_Sound_m_s,UAV_Speed_M0.1_m_s,UAV_Speed_M0.15_m_s,UAV_Speed_M0.2_m_s,UAV_Speed_M0.25_m_s,UAV_Speed_M0.3_m_s,UAV_Speed_M0.35_m_s,UAV_Speed_M0.4_m_s,UAV_Speed_M0.45_m_s,UAV_Speed_M0.5_m_s
0,288.15,101325.0,1.2250122659906946,340.29228686527705,34.02922868652771,51.04384302979155,68.05845737305542,85.07307171631926,102.0876860595831,119.10230040284696,136.11691474611084,153.13152908937468,170.14614343263852
500,284.9,95460.77843546981,1.1672798027387787,338.36779249804493,33.83677924980449,50.75516887470674,67.67355849960899,84.59194812451123,101.51033774941348,118.42872737431571,135.34711699921797,152.26550662412023,169.18389624902247
1000,281.65,89874.45515908135,1.1116522819524908,336.43228962155223,33.64322896215523,50.46484344323283,67.28645792431045,84.10807240538806,100.92968688646566,117.75130136754328,134.5729158486209,151.3945303296985,168.21614481077611
1500,278.4,84555.84112250838,1.0580759229652357,334.48558713343687,33.44855871334369,50.17283807001553,66.89711742668737,83.62139678335922,100.34567614003106,117.06995549670289,133.79423485337475,150.5185142100466,167.24279356671843
2000,275.15,79495.00908350243,1.0064977189019437,332.5274883374305,33.25274883374305,49.879123250614576,66.5054976674861,83.13187208435762,99.75824650122915,116.38462091810067,133.0109953349722,149.63736975184372,166.26374416871525
2500,271.9,74682.28981736007,0.9568654343839215,330.5577907113974,33.05577907113974,49.58366860670961,66.11155814227948,82.63944767784935,99.16733721341922,115.69522674898907,132.22311628455896,148.75100582012882,165.2788953556987
3000,268.65,70108.26833969312,0.9091276032136805,328.5762856628579,32.85762856628579,49.28644284942869,65.71525713257158,82.14407141571448,98.57288569885738,115.00169998200026,131.43051426514316,147.85932854828607,164.28814283142896
3500,265.4,65763.78014060124,0.863233526039332,326.58275827116165,32.658275827116164,48.98741374067425,65.31655165423233,81.64568956779041,97.9748274813485,114.30396539490657,130.63310330846465,146.96224122202275,163.29137913558083
4000,262.15,61639.90743034693,0.8191332679981026,324.5769870154075,32.45769870154075,48.686548052311124,64.9153974030815,81.14424675385187,97.37309610462225,113.60194545539261,129.830794806163,146.0596441569334,162.28849350770375
4500,258.9,57727.975396638096,0.7767776563385537,322.558743487136,32.2558743487136,48.3838115230704,64.5117486974272,80.639685871784,96.7676230461408,112.89556022049759,129.0234973948544,145.1514345692112,161.279371743568
5000,255.64999999999998,54019.548473622235,0.7361182780210237,320.52779208673934,32.05277920867393,48.0791688130109,64.10555841734786,80.13194802168483,96.1583376260218,112.18472723035876,128.21111683469573,144.2375064390327,160.26389604336967
5500,252.39999999999998,50506.42662270077,0.6971074772958318,318.48388970244633,31.848388970244635,47.77258345536695,63.69677794048927,79.62097242561158,95.5451669107339,111.46936139585621,127.39355588097854,143.31775036610085,159.24194485122317
6000,249.14999999999998,47180.641625274184,0.6596983532587588,316.4267853706446,31.642678537064462,47.46401780559669,63.285357074128925,79.10669634266115,94.92803561119338,110.74937487972561,126.57071414825785,142.39205341679008,158.2133926853223
6500,245.89999999999998,44034.45338752977,0.6238447573832844,314.3562199161963,31.435621991619634,47.15343298742945,62.87124398323927,78.58905497904908,94.3068659748589,110.02467697066871,125.74248796647854,141.46029896228836,157.17810995809816
7000,242.64999999999998,41060.34625738773,0.5895012910290675,312.2719255712879,31.22719255712879,46.84078883569318,62.45438511425758,78.06798139282198,93.68157767138636,109.29517394995077,124.90877022851517,140.52236650707957,156.13596278564395
7500,239.39999999999998,38251.02535372359,0.5566233029261244,310.17362557122743,31.017362557122745,46.52604383568411,62.03472511424549,77.54340639280686,93.05208767136823,108.5607689499296,124.06945022849098,139.57813150705235,155.08681278561372
8000,236.14999999999998,35599.412907986996,0.5251668866341385,308.0610337254616,30.80610337254616,46.209155058819235,61.61220674509232,77.0152584313654,92.41831011763847,107.82136180391154,123.22441349018465,138.62746517645772,154.0305168627308
8500,232.89999999999998,33098.644618340484,0.4950888779763182,305.93385396193077,30.593385396193078,45.89007809428961,61.186770792386156,76.48346349048269,91.78015618857923,107.07684888667576,122.37354158477231,137.67023428286885,152.96692698096538
9000,229.64999999999998,30742.066016444835,0.4663468524472039,303.7917798427074,30.37917798427074,45.56876697640611,60.75835596854148,75.94794496067685,91.13753395281222,106.32712294494759,121.51671193708296,136.70630092921834,151.8958899213537
9500,226.39999999999998,28523.228847019436,0.43889912259378233,301.6344940486747,30.16344940486747,45.2451741073012,60.32689880973494,75.40862351216867,90.4903482146024,105.57207291703614,120.65379761946988,135.73552232190363,150.81724702433735
10000,223.14999999999998,26435.887460311165,0.4127047353692698,299.46166783079263,29.946166783079263,44.919250174618895,59.89233356615853,74.86541695769816,89.83850034923779,104.81158374077742,119.78466713231705,134.75775052385669,149.73083391539632
10500,219.89999999999998,24473.99521760658,0.38772346945887476,297.272960425263,29.727296042526305,44.59094406378945,59.45459208505261,74.31824010631576,89.1818881275789,104.04553614884205,118.90918417010522,133.77283219136837,148.6364802126315
11000,216.64999999999998,22631.70090992698,0.36391583257683874,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
11500,216.64999999999998,20915.835847374416,0.33632486779193244,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
12000,216.64999999999998,19330.062328740987,0.3108257640078833,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
12500,216.64999999999998,17864.517218417368,0.287259922840002,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
13000,216.64999999999998,16510.085173011288,0.2654807703390734,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
13500,216.64999999999998,15258.341946071097,0.24535284533611665,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
14000,216.64999999999998,14101.501991268597,0.22675095690600558,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
14500,216.64999999999998,13032.370038145269,0.2095594057095722,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
15000,216.64999999999998,12044.296339234654,0.19367126437112725,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
15500,216.64999999999998,11131.135310208438,0.17898771241551464,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
16000,216.64999999999998,10287.207305797854,0.16541742162816708,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
16500,216.64999999999998,9507.263293745647,0.1528759880152476,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
17000,216.64999999999998,8786.452207068945,0.14128540683080343,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
17500,216.64999999999998,8120.290771571867,0.13057358740572586,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
18000,216.64999999999998,7504.635620942134,0.12067390476086709,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
18500,216.64999999999998,6935.657525994182,0.1115247852154535,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
19000,216.64999999999998,6409.8175777707975,0.10306932341337845,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
19500,216.64999999999998,5923.845176367773,0.09525492838536825,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
20000,216.64999999999998,5474.717688577339,0.08803299644561255,295.0680184296495,29.50680184296495,44.26020276444742,59.0136036859299,73.76700460741237,88.52040552889484,103.27380645037732,118.0272073718598,132.78060829334228,147.53400921482475
